### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
runai                                   binder-8bf69595f-wmcp5                                            1/1     Running                  0               89m    192.168.0.127   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   cluster-api-f4cf45889-sh8wh                                       1/1     Running                  0               89m    192.168.0.40    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   cluster-redis-6ff79b7d44-x4dg4                                    1/1     Running                  0               89m    192.168.0.131   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   cluster-sync-74fdc65645-xsq4b                                     1/1     Running                  0               89m    192.168.0.123   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   engine-admission-85769dd9bd-6jhhf                                 1/1     Running                  0               89m    192.168.0.13    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   engine-operator-7fd559db9-8tt8w                                   1/1     Running                  0               89m    192.168.0.16    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   external-workload-integrator-648cb58fb4-j5d8m                     1/1     Running                  0               89m    192.168.0.1     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   inference-workload-controller-655c86f9-xmsl5                      1/1     Running                  0               44m    192.168.0.238   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   init-ca-7b8b784bf7-zmlqw                                          1/1     Running                  0               89m    192.168.0.153   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   metrics-exporter-5bcb87858d-l6dvw                                 1/1     Running                  0               89m    192.168.0.63    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   nodepool-controller-5dbcf67788-jzbdj                              1/1     Running                  0               89m    192.168.0.22    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   pod-group-assigner-57f957bb4c-k4pgt                               1/1     Running                  0               44m    192.168.0.160   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   pod-group-controller-69cc87b479-7sfs7                             1/1     Running                  0               89m    192.168.0.159   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   pod-grouper-5d9986cd9d-2zn9v                                      1/1     Running                  0               89m    192.168.0.4     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   prometheus-runai-0                                                2/2     Running                  0               89m    192.168.0.239   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   queue-controller-6575db55c8-b9g82                                 1/1     Running                  0               89m    192.168.0.56    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   researcher-service-7b9ff9bc9-wczkq                                1/1     Running                  0               89m    192.168.0.100   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-admission-controller-5784d5fd65-gfn7w                       1/1     Running                  0               44m    192.168.0.20    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-agent-649c498569-tpsqz                                      1/1     Running                  0               89m    192.168.0.166   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-container-toolkit-ms2p7                                     1/1     Running                  0               89m    192.168.0.69    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-job-controller-6ff585f497-9ccrc                             1/1     Running                  0               89m    192.168.0.208   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-node-exporter-k2cld                                         1/1     Running                  0               89m    192.168.0.15    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-operator-5df6f95db-cksn7                                    1/1     Running                  0               89m    192.168.0.205   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-project-controller-994db5485-ftl9c                          1/1     Running                  0               44m    192.168.0.85    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   runai-scheduler-default-6d7cd57f99-rwmfg                          1/1     Running                  0               44m    192.168.0.167   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   shared-objects-controller-57fd8d7b49-k2czg                        1/1     Running                  0               89m    192.168.0.206   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   status-updater-5b54d47449-jsc7t                                   1/1     Running                  0               89m    192.168.0.148   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   workload-controller-5584b9946-57tjb                               1/1     Running                  0               44m    192.168.0.81    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   workload-exporter-6d8f69c98c-z8vdz                                1/1     Running                  0               89m    192.168.0.203   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   workload-overseer-9dc8947f4-pw2s8                                 1/1     Running                  0               73m    192.168.0.3     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   workload-overseer-9dc8947f4-xgw4t                                 0/1     ContainerStatusUnknown   0               73m    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   workload-overseer-9dc8947f4-zkc8b                                 0/1     ContainerStatusUnknown   0               89m    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
spectro-task-6a4c318600e881551a495995   crony-57ff474fbb-sgtxg                                            1/1     Running                  0               116m   192.168.0.135   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>

### storageclasses
NAME                 PROVISIONER          RECLAIMPOLICY   VOLUMEBINDINGMODE   ALLOWVOLUMEEXPANSION   AGE
longhorn (default)   driver.longhorn.io   Delete          Immediate           true                   12h
longhorn-static      driver.longhorn.io   Delete          Immediate           true                   12h
### PVCs (runai-backend)
NAMESPACE       NAME                                  STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   VOLUMEATTRIBUTESCLASS   AGE
runai-backend   data-runai-backend-nats-0             Bound    pvc-e06f8c16-223a-4aca-8cf5-f9ef9685e3c1   3Gi        RWO            longhorn       <unset>                 10h
runai-backend   data-runai-backend-nats-1             Bound    pvc-c8f2e58f-66af-457a-b10c-eff357fb42a4   3Gi        RWO            longhorn       <unset>                 10h
runai-backend   data-runai-backend-nats-2             Bound    pvc-81437ff0-8932-448c-b2bc-0a910adbca2f   3Gi        RWO            longhorn       <unset>                 10h
runai-backend   data-runai-backend-postgresql-0       Bound    pvc-93307789-cbd3-45e3-b535-377996f13bbb   8Gi        RWO            longhorn       <unset>                 10h
runai-backend   data-runai-backend-thanos-receive-0   Bound    pvc-bd047cfc-7f34-4169-8454-6e47a0967ff4   100Gi      RWO            longhorn       <unset>                 10h
### ingressclasses (single default = nginx)
NAME     CONTROLLER                     PARAMETERS   AGE
cilium   cilium.io/ingress-controller   <none>       13h
nginx    k8s.io/ingress-nginx           <none>       12h
### ingresses
NAMESPACE       NAME                    CLASS   HOSTS                       ADDRESS        PORTS     AGE
runai-backend   runai-backend-ingress   nginx   runai.172.31.9.103.nip.io   172.31.9.103   80, 443   11h
